SEP=;
date_time_utc;date_time_local;core_temperature [C];temp_change_rate [C/h];quality [1(poor) to 4(excellent)];skin_temperature [C];heat_zone;heat_strain_index;heart_rate [bpm]
31.01.2024 20:15:23;01.02.2024 05:15:23;;;;22.36;;;
31.01.2024 20:16:23;01.02.2024 05:16:23;;;;22.36;;;
31.01.2024 20:17:23;01.02.2024 05:17:23;;;;22.35;;;
31.01.2024 20:18:23;01.02.2024 05:18:23;;;;22.35;;;
31.01.2024 20:19:23;01.02.2024 05:19:23;;;;22.35;;;
31.01.2024 20:20:23;01.02.2024 05:20:23;;;;22.35;;;
31.01.2024 20:21:23;01.02.2024 05:21:23;;;;22.35;;;
31.01.2024 20:22:23;01.02.2024 05:22:23;;;;22.35;;;
31.01.2024 20:23:23;01.02.2024 05:23:23;;;;22.35;;;
31.01.2024 20:24:23;01.02.2024 05:24:23;;;;22.35;;;
31.01.2024 20:25:23;01.02.2024 05:25:23;;;;22.35;;;
31.01.2024 20:26:23;01.02.2024 05:26:23;;;;22.34;;;
31.01.2024 20:27:23;01.02.2024 05:27:23;;;;22.34;;;
31.01.2024 20:28:23;01.02.2024 05:28:23;;;;22.34;;;
31.01.2024 20:29:23;01.02.2024 05:29:23;;;;22.34;;;
31.01.2024 20:30:23;01.02.2024 05:30:23;;;;22.34;;;
31.01.2024 20:31:23;01.02.2024 05:31:23;;;;22.33;;;
31.01.2024 20:32:23;01.02.2024 05:32:23;;;;22.33;;;
31.01.2024 20:33:23;01.02.2024 05:33:23;;;;22.33;;;
31.01.2024 20:34:23;01.02.2024 05:34:23;;;;22.33;;;
31.01.2024 20:35:23;01.02.2024 05:35:23;;;;22.33;;;
31.01.2024 20:36:23;01.02.2024 05:36:23;;;;22.33;;;
31.01.2024 20:37:23;01.02.2024 05:37:23;;;;22.33;;;
31.01.2024 20:38:23;01.02.2024 05:38:23;;;;22.33;;;
31.01.2024 20:39:23;01.02.2024 05:39:23;;;;22.33;;;
31.01.2024 20:40:23;01.02.2024 05:40:23;;;;22.33;;;
31.01.2024 20:41:23;01.02.2024 05:41:23;;;;22.33;;;
31.01.2024 20:42:23;01.02.2024 05:42:23;;;;22.33;;;
31.01.2024 20:43:23;01.02.2024 05:43:23;;;;22.33;;;
31.01.2024 20:44:23;01.02.2024 05:44:23;;;;22.33;;;
31.01.2024 20:45:23;01.02.2024 05:45:23;;;;22.33;;;
31.01.2024 20:46:23;01.02.2024 05:46:23;;;;22.33;;;
31.01.2024 20:47:23;01.02.2024 05:47:23;;;;22.33;;;
31.01.2024 20:48:23;01.02.2024 05:48:23;;;;22.33;;;
31.01.2024 20:49:23;01.02.2024 05:49:23;;;;22.33;;;
31.01.2024 20:50:23;01.02.2024 05:50:23;;;;22.33;;;
31.01.2024 20:51:23;01.02.2024 05:51:23;;;;22.33;;;
31.01.2024 20:52:23;01.02.2024 05:52:23;;;;22.33;;;
31.01.2024 20:53:23;01.02.2024 05:53:23;;;;22.33;;;
31.01.2024 20:54:23;01.02.2024 05:54:23;;;;22.34;;;
31.01.2024 20:55:23;01.02.2024 05:55:23;;;;22.34;;;
31.01.2024 20:56:23;01.02.2024 05:56:23;;;;22.34;;;
31.01.2024 20:57:23;01.02.2024 05:57:23;;;;22.34;;;
31.01.2024 20:58:23;01.02.2024 05:58:23;;;;22.34;;;
31.01.2024 20:59:23;01.02.2024 05:59:23;;;;22.34;;;
31.01.2024 21:00:23;01.02.2024 06:00:23;;;;22.34;;;
31.01.2024 21:01:23;01.02.2024 06:01:23;;;;22.34;;;
31.01.2024 21:02:23;01.02.2024 06:02:23;;;;22.34;;;
31.01.2024 21:03:23;01.02.2024 06:03:23;;;;22.34;;;
31.01.2024 21:04:23;01.02.2024 06:04:23;;;;22.34;;;
31.01.2024 21:05:23;01.02.2024 06:05:23;;;;22.34;;;
31.01.2024 21:06:23;01.02.2024 06:06:23;;;;22.34;;;
31.01.2024 21:07:23;01.02.2024 06:07:23;;;;22.34;;;
31.01.2024 21:08:23;01.02.2024 06:08:23;;;;22.33;;;
31.01.2024 21:09:23;01.02.2024 06:09:23;;;;22.33;;;
31.01.2024 21:10:23;01.02.2024 06:10:23;;;;22.33;;;
31.01.2024 21:11:23;01.02.2024 06:11:23;;;;22.33;;;
31.01.2024 21:12:23;01.02.2024 06:12:23;;;;22.33;;;
31.01.2024 21:13:23;01.02.2024 06:13:23;;;;22.33;;;
31.01.2024 21:14:23;01.02.2024 06:14:23;;;;22.33;;;
31.01.2024 21:15:23;01.02.2024 06:15:23;;;;22.33;;;
31.01.2024 21:16:23;01.02.2024 06:16:23;;;;22.33;;;
31.01.2024 21:17:23;01.02.2024 06:17:23;;;;22.33;;;
31.01.2024 21:18:23;01.02.2024 06:18:23;;;;22.33;;;
31.01.2024 21:19:23;01.02.2024 06:19:23;;;;22.33;;;
31.01.2024 21:20:23;01.02.2024 06:20:23;;;;22.32;;;
31.01.2024 21:21:23;01.02.2024 06:21:23;;;;22.32;;;
31.01.2024 21:22:23;01.02.2024 06:22:23;;;;22.32;;;
31.01.2024 21:23:23;01.02.2024 06:23:23;;;;22.32;;;
31.01.2024 21:24:23;01.02.2024 06:24:23;;;;22.32;;;
31.01.2024 21:25:23;01.02.2024 06:25:23;;;;22.32;;;
31.01.2024 21:26:23;01.02.2024 06:26:23;;;;22.31;;;
31.01.2024 21:27:23;01.02.2024 06:27:23;;;;22.31;;;
31.01.2024 21:28:23;01.02.2024 06:28:23;;;;22.31;;;
31.01.2024 21:29:23;01.02.2024 06:29:23;;;;22.31;;;
31.01.2024 21:30:23;01.02.2024 06:30:23;;;;22.31;;;
31.01.2024 21:31:23;01.02.2024 06:31:23;;;;22.3;;;
31.01.2024 21:32:23;01.02.2024 06:32:23;;;;22.3;;;
31.01.2024 21:33:23;01.02.2024 06:33:23;;;;22.3;;;
31.01.2024 21:34:23;01.02.2024 06:34:23;;;;22.3;;;
31.01.2024 21:35:23;01.02.2024 06:35:23;;;;22.3;;;
31.01.2024 21:36:23;01.02.2024 06:36:23;;;;22.3;;;
31.01.2024 21:37:23;01.02.2024 06:37:23;;;;22.3;;;
31.01.2024 21:38:23;01.02.2024 06:38:23;;;;22.3;;;
31.01.2024 21:39:23;01.02.2024 06:39:23;;;;22.3;;;
31.01.2024 21:40:23;01.02.2024 06:40:23;;;;22.3;;;
31.01.2024 21:41:23;01.02.2024 06:41:23;;;;22.3;;;
31.01.2024 21:42:23;01.02.2024 06:42:23;;;;22.3;;;
31.01.2024 21:43:23;01.02.2024 06:43:23;;;;22.3;;;
31.01.2024 21:44:23;01.02.2024 06:44:23;;;;22.3;;;
31.01.2024 21:45:23;01.02.2024 06:45:23;;;;22.3;;;
31.01.2024 21:46:23;01.02.2024 06:46:23;;;;22.3;;;
31.01.2024 21:47:23;01.02.2024 06:47:23;;;;22.3;;;
31.01.2024 21:48:23;01.02.2024 06:48:23;;;;22.31;;;
31.01.2024 21:49:23;01.02.2024 06:49:23;;;;22.3;;;
31.01.2024 21:50:23;01.02.2024 06:50:23;;;;22.31;;;
31.01.2024 21:51:23;01.02.2024 06:51:23;;;;22.31;;;
31.01.2024 21:52:23;01.02.2024 06:52:23;;;;22.31;;;
31.01.2024 21:53:23;01.02.2024 06:53:23;;;;22.31;;;
